Show{id='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, title='Show7f8d520a-0bd9-4e94-9100-0e35454356dc', price=100.0, sum=0}
Show{id='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, title='Show6c8e5e65-e69d-47eb-9922-c80c3c73e194', price=200.0, sum=0}
Show{id='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, title='Show87a8a618-4b11-4220-87a0-cbbd18e6b8f9', price=175.0, sum=0}
Show{id='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, title='Show2ab9866d-c4c9-4f27-b11f-c35493864337', price=100.0, sum=0}
Show{id='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, title='Showfeb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', price=200.0, sum=0}
Show{id='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, title='Show4f16cb20-c50d-4ef7-a182-422994b732c3', price=175.0, sum=0}
Show{id='021dfc47-0ad3-4123-a7cd-ca786711d716', date=2020-01-02, title='Show021dfc47-0ad3-4123-a7cd-ca786711d716', price=100.0, sum=0}
Show{id='5fe64181-edf3-47ab-b72b-cd3ea571d22b', date=2020-01-02, title='Show5fe64181-edf3-47ab-b72b-cd3ea571d22b', price=200.0, sum=0}
Show{id='6d6b9836-e857-4b4e-ba2b-45aba2a02cde', date=2020-01-02, title='Show6d6b9836-e857-4b4e-ba2b-45aba2a02cde', price=175.0, sum=0}
Show{id='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, title='Show7189ce66-91d6-42a9-8236-df700b03f0b2', price=100.0, sum=0}
Show{id='73c1ea62-0605-40a4-a268-eb4e6a6311b5', date=2020-01-02, title='Show73c1ea62-0605-40a4-a268-eb4e6a6311b5', price=200.0, sum=0}
Show{id='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, title='Show216cc4dd-bbdb-48fd-93e9-2d80c08ac444', price=175.0, sum=0}
Show{id='fc1f00a7-8bcc-4d6c-8209-aa3897908031', date=2020-01-02, title='Showfc1f00a7-8bcc-4d6c-8209-aa3897908031', price=100.0, sum=0}
Show{id='bb7a91a0-441e-4b6b-9abf-b86e49f1e937', date=2020-01-02, title='Showbb7a91a0-441e-4b6b-9abf-b86e49f1e937', price=200.0, sum=0}
Show{id='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, title='Showe6115a11-3326-4136-82a7-f7de9e504f71', price=175.0, sum=0}
Show{id='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, title='Show17abb1d5-cbec-435a-867e-bb3136dc51a9', price=100.0, sum=0}
Show{id='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, title='Showe26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', price=200.0, sum=0}
Show{id='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, title='Show87104298-b6ff-4d9a-8c16-d15cf21f8461', price=175.0, sum=0}
Show{id='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, title='Show95b2a8c5-6f50-4247-b4b3-0d947b0973c3', price=100.0, sum=0}
Show{id='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, title='Show744b0742-6fda-4ad2-a11d-e819b032e2d7', price=200.0, sum=0}
Show{id='981d9359-f9b5-4c4e-b102-0a9257aec819', date=2020-01-02, title='Show981d9359-f9b5-4c4e-b102-0a9257aec819', price=175.0, sum=0}
